id,year,title,authors,venue,doi,url,read_url,evidence
robocook2023,2023,RoboCook: Long-Horizon Elasto-Plastic Object Manipulation with Diverse Tools,"Shi, Haochen; Xu, Huazhe; Clarke, Samuel; Li, Yunzhu; Wu, Jiajun",Proceedings of the 7th Conference on Robot Learning,,https://proceedings.mlr.press/v229/shi23a.html,https://proceedings.mlr.press/v229/shi23a/shi23a.pdf,"Full-text methods, comparison and appendix inspected"
plasticinelab2021,2021,PlasticineLab: A Soft-Body Manipulation Benchmark with Differentiable Physics,"Huang, Zhiao; Hu, Yuanming; Du, Tao; Zhou, Siyuan; Su, Hao; Tenenbaum, Joshua B.; Gan, Chuang",International Conference on Learning Representations (ICLR),,https://openreview.net/forum?id=xCcdBRQEDW,https://arxiv.org/abs/2104.03311,Primary abstract and publication metadata inspected
doughnet2024,2024,DoughNet: A Visual Predictive Model for Topological Manipulation of Deformable Objects,"Bauer, Dominik; Xu, Zhenjia; Song, Shuran",Computer Vision – ECCV 2024,10.1007/978-3-031-72940-9_6,https://doi.org/10.1007/978-3-031-72940-9_6,https://dough-net.github.io/,Primary project description and proceedings metadata inspected
review2020,2020,Modeling of Deformable Objects for Robotic Manipulation: A Tutorial and Review,"Arriola-Rios, Veronica E.; Guler, Puren; Ficuciello, Fanny; Kragic, Danica; Siciliano, Bruno; Wyatt, Jeremy L.",Frontiers in Robotics and AI,10.3389/frobt.2020.00082,https://doi.org/10.3389/frobt.2020.00082,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2020.00082/full,Primary full text sections 1–4 inspected; later control sections truncated
chainqueen2019,2019,ChainQueen: A Real-Time Differentiable Physical Simulator for Soft Robotics,"Hu, Yuanming; Liu, Jiancheng; Spielberg, Andrew; Tenenbaum, Joshua B.; Freeman, William T.; Wu, Jiajun; Rus, Daniela; Matusik, Wojciech",IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA.2019.8794333,https://doi.org/10.1109/ICRA.2019.8794333,https://arxiv.org/abs/1810.01054,Primary arXiv abstract and exact authors; conference metadata checked
difftaichi2020,2020,DiffTaichi: Differentiable Programming for Physical Simulation,"Hu, Yuanming; Anderson, Luke; Li, Tzu-Mao; Sun, Qi; Carr, Nathan; Ragan-Kelley, Jonathan; Durand, Frédo",International Conference on Learning Representations (ICLR),,https://openreview.net/forum?id=B1eB5xSFvr,https://openreview.net/forum?id=B1eB5xSFvr,Primary abstract and ICLR metadata inspected
fabbri2015,2015,Estimation of semolina dough rheological parameters by inversion of a finite elements model,"Fabbri, Angelo; Cevoli, Chiara",Journal of Agricultural Engineering,10.4081/jae.2015.469,https://doi.org/10.4081/jae.2015.469,https://www.agroengineering.org/jae/article/download/469/489/2564,Full publisher PDF methods and independent-rheometry comparison inspected
miranda2025,2025,Advancing Viscoelastic Material Characterization Through Computer Vision and Robotics: MIRANDA and RELAPP,"Monleón-Getino, Antonio; Madarnás-Gómez, Víctor; Cobos-Soler, Mario; Almacellas, Eduard; Ramos-Castro, Juan; Bielsa, Xavier; López-Brosa, Pere; Sahuquillo-Estrugo, Àngels; Marsà-González, Inés; Rodríguez-Mena, Alejandro",Materials,10.3390/ma18214827,https://doi.org/10.3390/ma18214827,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12608870/fullTextXML,"Full article XML including methods, results and Appendix A inspected"
yazar2023,2023,Wheat Flour Quality Assessment by Fundamental Non-Linear Rheological Methods: A Critical Review,"Yazar, Gamze",Foods,10.3390/foods12183353,https://doi.org/10.3390/foods12183353,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10527890/fullTextXML,"Full review XML inspected, especially sections 3.4 and 4.1–4.2"
ng2006,2006,Linear to Non-linear Rheology of Wheat Flour Dough,"Ng, Trevor S. K.; McKinley, Gareth H.; Padmanabhan, Mahesh",Applied Rheology,10.1515/arh-2006-0019,https://doi.org/10.1515/arh-2006-0019,,Metadata and publisher-linked discovery summary only; full methods not inspected
sun2020,2020,Modeling the viscoelastic behavior of wheat flour dough prepared from a wide range of formulations,"Sun, Xinyang; Koksel, Filiz; Nickerson, Michael T.; Scanlon, Martin G.",Food Hydrocolloids,10.1016/j.foodhyd.2019.05.030,https://doi.org/10.1016/j.foodhyd.2019.05.030,,Metadata and publisher-linked discovery excerpts only; full methods not inspected
anderssen2013,2013,Modelling of wheat-flour dough mixing as an open-loop hysteretic process,"Anderssen, Robert S.; Kružík, Martin",Discrete and Continuous Dynamical Systems – B,10.3934/dcdsb.2013.18.283,https://doi.org/10.3934/dcdsb.2013.18.283,https://www.aimsciences.org/article/doi/10.3934/dcdsb.2013.18.283,Primary abstract and exact DOI metadata inspected
rolling2009,2009,Rolling of bread dough: Experiments and simulations,"Mitsoulis, Evan; Hatzikiriakos, Savvas G.",Food and Bioproducts Processing,10.1016/j.fbp.2008.07.001,https://doi.org/10.1016/j.fbp.2008.07.001,https://www.sciencedirect.com/science/article/pii/S096030850800059X,Metadata and publisher-linked discovery excerpts only; full methods not inspected
adhesion2014,2014,An investigation into the nature of wheat flour dough adhesive behaviour,"Ghorbel, Dorra; Launay, Bernard",Food Research International,10.1016/j.foodres.2014.06.045,https://doi.org/10.1016/j.foodres.2014.06.045,https://pubmed.ncbi.nlm.nih.gov/30011655/,Primary abstract via Europe PMC and DOI metadata inspected
cocuzza2018,2018,First engineering framework for the out-of-plane robotic shaping of thin rheological objects,"Cocuzza, Silvio; Yan, X.-T.",Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2018.02.005,https://doi.org/10.1016/j.rcim.2018.02.005,https://strathprints.strath.ac.uk/63903/1/Cocuzza_Yan_RCIM_2018_First_engineering_framework_for_the_out_of_plane_robotic.pdf,Full accepted manuscript relevant methods and validation inspected; manuscript title differs from final title
pizza2017,2017,Tracking elastic deformable objects with an RGB-D sensor for a pizza chef robot,"Petit, Antoine; Lippiello, Vincenzo; Fontanelli, Giuseppe Andrea; Siciliano, Bruno",Robotics and Autonomous Systems,10.1016/j.robot.2016.08.023,https://doi.org/10.1016/j.robot.2016.08.023,https://www.iris.unina.it/handle/11588/649348,Metadata and primary discovery excerpts only; full methods not inspected
ral-scope,2026,IEEE Robotics and Automation Letters: Information for Authors,IEEE Robotics and Automation Society,,,https://www.ieee-ras.org/publications/ra-l/ra-l-information-for-authors/,,Official author-information web page inspected on 11 September 2026
rap-scope,2026,IEEE Robotics and Automation Practice,IEEE Robotics and Automation Society,,,https://www.ieee-ras.org/publications/ra-p/,,Official journal scope web page inspected on 11 September 2026
joss-scope,2026,Submitting a paper to JOSS,Journal of Open Source Software,,,https://joss.readthedocs.io/en/latest/submitting.html,,Official submitting guidance inspected on 11 September 2026; recheck before submission
dpsi2025,2025,Differentiable physics-based system identification for robotic manipulation of elastoplastic materials,"Yang, Xintong; Ji, Ze; Lai, Yu-Kun",The International Journal of Robotics Research,10.1177/02783649251334661,https://doi.org/10.1177/02783649251334661,https://arxiv.org/pdf/2411.00554v3,"Full text: arXiv 2411.00554 v3, 18 February 2025; final publication metadata verified separately"
empm2026,2026,EMPM: Embodied MPM for Modeling and Simulation of Deformable Objects,"Chen, Yunuo; Hu, Yafei; Sun, Lingfeng; Kusnur, Tushar; Herlant, Laura; Jiang, Chenfanfu",IEEE Robotics and Automation Letters,10.1109/LRA.2026.3664610,https://doi.org/10.1109/LRA.2026.3664610,https://arxiv.org/pdf/2601.17251v1,"Full text: arXiv 2601.17251 v1, 24 January 2026; final publication metadata verified separately"
diffcal2023,2023,Differentiable Depth for Real2Sim Calibration of Soft Body Simulations,"Arnavaz, K.; Nielsen, M. Kragballe; Kry, P. G.; Macklin, M.; Erleben, K.",Computer Graphics Forum,10.1111/cgf.14720,https://doi.org/10.1111/cgf.14720,https://erleben.github.io/pubs/2022/arnavaz.ea22/arnavaz.ea22.pdf,Full text: author-hosted early-online 2022 paper; final issue 2023
diffcloud2022,2022,DiffCloud: Real-to-Sim from Point Clouds with Differentiable Simulation and Rendering of Deformable Objects,"Sundaresan, Priya; Antonova, Rika; Bohg, Jeannette",IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS47612.2022.9981101,https://doi.org/10.1109/IROS47612.2022.9981101,https://arxiv.org/pdf/2204.03139v2,"Full text: arXiv 2204.03139 v2, 13 May 2025; conference publication 2022"
pacnerf2023,2023,PAC-NeRF: Physics Augmented Continuum Neural Radiance Fields for Geometry-Agnostic System Identification,"Li, Xuan; Qiao, Yi-Ling; Chen, Peter Yichen; Jatavallabhula, Krishna Murthy; Lin, Ming; Jiang, Chenfanfu; Gan, Chuang",International Conference on Learning Representations (ICLR),,https://openreview.net/forum?id=tVkrbkz42vc,https://arxiv.org/pdf/2303.05512v1,"Full text: arXiv 2303.05512 v1, 9 March 2023, including appendix"
gic2024,2024,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,"Cai, Junhao; Yang, Yuji; Yuan, Weihao; He, Yisheng; Dong, Zilong; Bo, Liefeng; Cheng, Hui; Chen, Qifeng",Advances in Neural Information Processing Systems,10.52202/079017-2388,https://doi.org/10.52202/079017-2388,https://arxiv.org/pdf/2406.14927v3,"Full text: arXiv 2406.14927 v3, 31 October 2024; final proceedings pagination differs"
wang2015,2015,Deformation Capture and Modeling of Soft Objects,"Wang, Bin; Wu, Longhua; Yin, KangKang; Ascher, Uri; Liu, Libin; Huang, Hui",ACM Transactions on Graphics,10.1145/2766911,https://doi.org/10.1145/2766911,https://binwangbfa.github.io/publication/sig15_deformationcapture/SIG15_DeformationCapture.pdf,Full text: author-hosted TOG/SIGGRAPH paper
hahn2019,2019,Real2Sim: Visco-elastic parameter estimation from dynamic motion,"Hahn, David; Banzet, Pol; Bern, James M.; Coros, Stelian",ACM Transactions on Graphics,10.1145/3355089.3356548,https://doi.org/10.1145/3355089.3356548,https://crl.ethz.ch/papers/Real2Sim.pdf,Full text: ETH author-hosted TOG paper
phystwin2025,2025,PhysTwin: Physics-Informed Reconstruction and Simulation of Deformable Objects from Videos,"Jiang, Hanxiao; Hsu, Hao-Yu; Zhang, Kaifeng; Yu, Hsin-Ni; Wang, Shenlong; Li, Yunzhu",Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV),,https://openaccess.thecvf.com/content/ICCV2025/papers/Jiang_PhysTwin_Physics-Informed_Reconstruction_and_Simulation_of_Deformable_Objects_from_Videos_ICCV_2025_paper.pdf,,Full accepted main paper from CVF; separate supplement not read; DOI not verified
masiv2025,2025,Toward Material-Agnostic System Identification from Videos,"Zhao, Yizhou; Chen, Haoyu; Liu, Chunjiang; Li, Zhenyang; Herrmann, Charles; Hur, Junhwa; Li, Yinxiao; Yang, Ming-Hsuan; Raj, Bhiksha; Xu, Min",Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/ICCV51701.2025.00562,https://doi.org/10.1109/ICCV51701.2025.00562,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhao_Toward_Material-Agnostic_System_Identification_from_Videos_ICCV_2025_paper.pdf,Full accepted main paper from CVF; separate supplement not read
yoon2025,2025,Real-to-sim high-resolution cloth modeling: Physical parameter optimization using particle-based simulation with robot manipulation data,"Yoon, Kang-il; Lim, Soo-Chul",Journal of Computational Design and Engineering,10.1093/jcde/qwaf065,https://doi.org/10.1093/jcde/qwaf065,https://academic.oup.com/jcde/article/12/8/29/8206149,Partial publisher-text access through section 5.4.2; full conclusion and limitations unavailable
